compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge,PC1_raw,PC2_raw,PC1_scaled,PC2_scaled,cluster,cluster_name
Diclofenac,9,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0,0.04229667039836317,-0.1348416217504638,-0.01335850032553616,-0.3528512786943981,3.144489119827273,0.5776933255704035,3.17218414494206,-0.5346237479921048,7,Activated Aromatic/Heteroaromatic
Diclofenac,10,N,7,2,0,3,2,0,0,0,1,2,0,0,0,2,2,0,0,-0.3528512786943981,0.05927323786510605,0.07624980533184893,0.04229667039836317,-2.9881569312528646,0.3881310367372999,-1.6272472482821922,0.7777128161706673,2,Electron-Rich Heteroatom
Diclofenac,11,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0,0.07624980533184893,-0.07389183038885534,0.06558789376391604,-0.3528512786943981,3.1431256272307855,0.5762153643491725,2.972013250637339,-0.3684571492511404,7,Activated Aromatic/Heteroaromatic
Diclofenac,12,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0,0.06558789376391604,-0.015682736450394398,0.07624980533184893,-0.0820048650494504,3.13214995080147,0.49200859340307623,2.241067678605127,0.7305580413581758,0,Aromatic Carbon
Diclofenac,13,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,-0.0820048650494504,0.06558789376391604,0.06558789376391604,0.06558789376391604,-3.614077741155662,-1.4881611929021918,-3.3029246273495096,0.33954136426202003,1,Aliphatic sp3 Atom
Diclofenac,14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.04129314963358172,0.0032189162489527703,0.06558789376391604,-0.059150061266010495,3.151494186163108,-0.71300025210031,1.768209567939998,1.5396112051993176,0,Aromatic Carbon
Diclofenac,15,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.059150061266010495,-0.04129314963358172,-0.04129314963358172,-0.04129314963358172,3.152982487792604,-0.7126031840612268,1.9811330164293453,1.3811068231661925,0,Aromatic Carbon
Diclofenac,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.04129314963358172,0.0032189162489527703,0.06558789376391604,-0.059150061266010495,3.151494186163108,-0.71300025210031,1.768209567939998,1.5396112051993176,0,Aromatic Carbon
Diclofenac,17,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0,0.06558789376391604,-0.015682736450394398,0.07624980533184893,-0.0820048650494504,3.13214995080147,0.49200859340307623,2.241067678605127,0.7305580413581758,0,Aromatic Carbon
Diclofenac,18,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,-0.0820048650494504,0.06558789376391604,0.06558789376391604,0.06558789376391604,-3.614077741155662,-1.4881611929021918,-3.3029246273495096,0.33954136426202003,1,Aliphatic sp3 Atom
